School Year,Dates,Reason,
2022-2023,9/8/22,First day of school,
2022-2023,9/26/22,"Rosh Hashanah, schools closed",
2022-2023,9/27/22,"Rosh Hashanah, schools closed",
2022-2023,10/5/22,"Yom Kippur, schools closed",
2022-2023,10/10/22,"Italian Heritage / Indigenous Peoples' Day, schools closed",
2022-2023,11/8/22,"Election Day / Chancellor's Conference Day, no students report",
2022-2023,11/11/22,"Veterans Day, schools closed",
2022-2023,11/24/22,"Thanksgiving, schools closed",
2022-2023,11/25/22,"Thanksgiving Recess, schools closed",
2022-2023,12/26/22,"Christmas Day (observed), schools closed",
2022-2023,27-30 Dec 2022,"Winter Recess, schools closed",
2022-2023,1/2/22,"New Year’s Day (observed), schools closed",
2022-2023,1/16/22,"Rev. Dr. Martin Luther King Jr. Day, schools closed",
2022-2023,24-27 Jan 2023,Regents Administration (Exact Dates TBD),
2022-2023,1/30/22,Professional Development Day (6-12 and 9-12 schools only),
2022-2023,1/31/22,Spring Semester begins,
2022-2023,2/20/22,"Washington's Birthday / Presidents Day, schools closed",
2022-2023,2/21/22,"Lincoln's Birthday (Observed), schools closed",
2022-2023,22-24 Feb 2023,"Midwinter Recess, schools closed",
2022-2023,4/6/22,"First Day of Passover, schools closed",
2022-2023,4/7/22,"Second Day of Passover / Good Friday, schools closed",
2022-2023,10-14 Apr 2023,"Spring Recess, schools closed",
2022-2023,4/21/22,"Eid al-Fitr, schools closed",
2022-2023,5/29/22,"Memorial Day, schools closed",
2022-2023,6/8/22,"Anniversary Day (Chancellor's Conference Day), no students in attendance",
2022-2023,6/9/22,"Clerical Day (Pre-K Centers, 3K-5, 3K-8, 6-8, K-12 schools and standalone D75 programs)",
2022-2023,6/19/22,"Juneteenth, schools closed",
2022-2023,6/23/22,Regents Rating (Exact Dates TBD),
2022-2023,6/28/2022-9/12/2022,"Last day ofschool forstudents, school aides, family workers, classroom teachers, bilingual teachers in school and community relations, attendance teachers, nurses, therapists, laboratory specialists, paraprofessionals, and technicians.",
2021-2022,9/16/22,"Yom Kippur, schools closed",
2021-2022,10/11/22,"Indigenous Peoples’ Day, schools closed",
2021-2022,11/2/22,"Election Day, remote asynchronous instructional for students, professional development for teachers",
2021-2022,11/3/22,Evening parent-teacher conferences for elementary schools and K-8 schools.,
2021-2022,11/4/22,Afternoon parent-teacher conferences for elementary schools and K-8 schools; students in these schools dismissed three hours early.,
2021-2022,11/10/22,"Evening parent-teacher conferences for high schools, K-12, and 6-12 schools.",
2021-2022,11/11/22,"Veterans Day, schools closed",
2021-2022,11/12/22,"Afternoon parent-teacher conferences for high schools, K-12, and 6-12 schools; students in these schools dismissed three hours early.",
2021-2022,11/17/22,Evening parent-teacher conferences for middle schools and District 75 school programs.,
2021-2022,11/18/22,Afternoon Conferences for middle schools and District 75 school programs; students in these schools dismissed three hours early.,
2021-2022,November 25-26 2021,"Thanksgiving Recess, schools closed",
2021-2022,December 24-31 2021,"Winter Recess, schools closed",
2021-2022,1/17/22,"Rev. Dr. Martin Luther King Jr. Day, schools closed",
2021-2022,January 25-28 2022,Regents Administration,
2021-2022,1/31/22,"PD day for 9-12 and 6-12 schools, students in these schools do not attend",
2021-2022,2/1/22,"Lunar New Year, schools closed",
2021-2022,2/2/22,Spring Term begins for semester-based schools,
2021-2022,February 21-25 2022,"Midwinter Recess, schools closed",
