Reason,Year,Month,Day,School_Year
Accident,2021,9,14,4
Accident,2021,9,17,3
Accident,2021,9,20,3
Accident,2021,9,21,4
Accident,2021,9,22,5
Accident,2021,9,23,3
Accident,2021,9,24,2
Accident,2021,9,27,6
Accident,2021,9,28,5
Accident,2021,9,29,1
Accident,2021,9,30,8
Accident,2021,10,1,4
Accident,2021,10,4,4
Accident,2021,10,5,1
Accident,2021,10,6,6
Accident,2021,10,7,2
Accident,2021,10,8,4
Accident,2021,10,12,4
Accident,2021,10,13,8
Accident,2021,10,14,5
Accident,2021,10,15,1
Accident,2021,10,18,4
Accident,2021,10,19,3
Accident,2021,10,20,4
Accident,2021,10,21,4
Accident,2021,10,22,6
Accident,2021,10,25,5
Accident,2021,10,26,2
Accident,2021,10,27,4
Accident,2021,10,28,7
Accident,2021,10,29,4
Accident,2021,11,1,3
Accident,2021,11,3,6
Accident,2021,11,5,7
Accident,2021,11,8,2
Accident,2021,11,9,3
Accident,2021,11,10,3
Accident,2021,11,15,5
Accident,2021,11,16,2
Accident,2021,11,17,3
Accident,2021,11,19,8
Accident,2021,11,22,4
Accident,2021,11,23,8
Accident,2021,11,24,3
Accident,2021,11,29,4
Accident,2021,11,30,2
Accident,2021,12,1,2
Accident,2021,12,2,2
Accident,2021,12,3,7
Accident,2021,12,6,6
Accident,2021,12,7,4
Accident,2021,12,8,2
Accident,2021,12,9,2
Accident,2021,12,10,3
Accident,2021,12,13,4
Accident,2021,12,14,7
Accident,2021,12,15,1
Accident,2021,12,16,5
Accident,2021,12,17,5
Accident,2021,12,20,4
Accident,2021,12,21,2
Accident,2021,12,22,2
Accident,2021,12,23,4
Accident,2022,1,5,6
Accident,2022,1,7,3
Accident,2022,1,11,3
Accident,2022,1,12,4
Accident,2022,1,13,2
Accident,2022,1,14,2
Accident,2022,1,18,4
Accident,2022,1,19,3
Accident,2022,1,20,3
Accident,2022,1,21,2
Accident,2022,1,24,2
Accident,2022,1,25,5
Accident,2022,1,26,4
