Year,Month,delay_frequency
2017,9,6618.138136985239
2017,10,9931.786598044275
2017,11,7033.946982015864
2017,12,6877.331756244418
2018,1,8936.22665410531
2018,2,6292.085386256379
2018,3,8567.127613252134
2018,4,7767.5656711558
2018,5,10321.034966189683
2018,6,5227.834553821166
2018,9,8761.685544772707
2018,10,12619.153295679276
2018,11,11114.565491425219
2018,12,9114.29446576967
2019,1,11563.172652693605
2019,2,8953.682025315557
2019,3,11210.563731696642
2019,4,8043.544862742243
2019,5,11339.79213206202
2019,6,6528.803398459477
2019,9,8903.876716253131
2019,10,12179.900691713166
2019,11,9843.689539274897
2019,12,8288.35903157612
2020,1,8773.423714426062
2020,2,7211.662424947078
2020,3,4067.928817537027
2021,9,4115.562
2021,10,10401.344000000001
2021,11,6820.972
2021,12,5592.49
2022,1,6075.634
2022,2,5835.044
2022,3,7323.755999999999
2022,4,5693.6359999999995
2022,5,8051.418
2022,6,4731.275999999999
2022,9,7887.0
2022,10,14460.0
